,Date,Entry_Price,Exit_Price,Exit_date,Ret,Shares,Signal,Ticker
73604,2007-06-06,242.85,275.45,2007-06-20,0.13423924233065687,5012.173312772326,Buy,CANBK
164670,2007-06-06,114.45,121.65,2007-06-20,0.0629095674967235,10635.266832737085,Buy,IGL
311945,2007-06-06,240.2,242.35,2007-06-20,0.00895087427144059,5067.469979212155,Buy,TATACHEM
70106,2007-06-06,140.8,137.95,2007-06-20,-0.020241477272727404,8644.931029877553,Buy,CAIRN
342,2007-06-06,1318.5,1275.85,2007-06-20,-0.03234736442927577,923.1750390646639,Buy,ABIRLANUVO
296520,2007-06-06,158.95,158.0,2007-06-20,-0.005976722239697918,7657.79357663894,Buy,SRTRANSFIN
307254,2007-06-06,77.1,75.3,2007-06-20,0.0239043824701195,15787.370804238126,Sell,SYNDIBANK
50134,2007-06-06,1071.25,1139.8,2007-06-20,-0.06014213019828041,1136.248577835948,Sell,BEML
180180,2007-06-06,783.9,791.1,2007-06-20,-0.009101251422070633,1552.7570978527356,Sell,JETAIRWAYS
211192,2007-06-06,705.55,685.9,2007-06-20,0.02864849103367839,1725.1878520399114,Sell,LUPIN
345738,2007-06-06,820.35,841.25,2007-06-20,-0.024843982169390766,1483.7645992646546,Sell,ULTRACEMCO
287327,2007-06-06,103.05,117.3,2007-06-20,-0.12148337595907932,11811.802901569718,Sell,SOUTHBANK
184492,2007-06-06,3535.9,3432.15,2007-06-20,0.030228865288521867,344.2422831547157,Sell,JINDALSTEL
7586,2007-06-06,236.0,244.45,2007-06-20,-0.034567396195540945,5157.6537669777945,Sell,ADANIENT
151180,2007-06-06,100.8,105.75,2007-06-20,-0.04680851063829794,12075.4592163369,Sell,IDBI
300352,2007-06-06,353.5,341.45,2007-06-20,0.035290672133548195,3443.2992616881456,Sell,STAR
45454,2007-06-20,213.75,223.9,2007-07-04,0.04748538011695902,5892.097460732581,Buy,BANKINDIA
349306,2007-06-20,133.05,129.65,2007-07-04,-0.025554302893649017,9465.883744694393,Buy,UNIONBANK
335462,2007-06-20,65.8,70.25,2007-07-04,0.06762917933130708,19140.36219196944,Buy,TORNTPOWER
